film_id,title,description,release_year,language_id,rental_duration,rental_rate,length,replacement_cost,rating,last_update,special_features,fulltext
15,Alien Center,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,2006,1,5,2.99,46,10.99,NC-17,2013-05-26 14:50:58.951,"{Trailers,Commentaries,""Behind the Scenes""}",'alien':1 'battl':15 'brilliant':4 'cat':8 'center':2 'convent':21 'drama':5 'feminist':17 'mad':11 'must':14 'mysql':20 'scientist':12
504,Kwai Homeward,A Amazing Drama of a Car And a Squirrel who must Pursue a Car in Soviet Georgia,2006,1,5,0.99,46,25.99,PG-13,2013-05-26 14:50:58.951,"{Trailers,Commentaries}","'amaz':4 'car':8,16 'drama':5 'georgia':19 'homeward':2 'kwai':1 'must':13 'pursu':14 'soviet':18 'squirrel':11"
730,Ridgemont Submarine,A Unbelieveable Drama of a Waitress And a Composer who must Sink a Mad Cow in Ancient Japan,2006,1,3,0.99,46,28.99,PG-13,2013-05-26 14:50:58.951,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",'ancient':19 'compos':11 'cow':17 'drama':5 'japan':20 'mad':16 'must':13 'ridgemont':1 'sink':14 'submarin':2 'unbeliev':4 'waitress':8
469,Iron Moon,A Fast-Paced Documentary of a Mad Cow And a Boy who must Pursue a Dentist in A Baloon,2006,1,7,4.99,46,27.99,PG,2013-05-26 14:50:58.951,"{Commentaries,""Behind the Scenes""}",'baloon':22 'boy':14 'cow':11 'dentist':19 'documentari':7 'fast':5 'fast-pac':4 'iron':1 'mad':10 'moon':2 'must':16 'pace':6 'pursu':17
505,Labyrinth League,A Awe-Inspiring Saga of a Composer And a Frisbee who must Succumb a Pioneer in The Sahara Desert,2006,1,6,2.99,46,24.99,PG-13,2013-05-26 14:50:58.951,"{Commentaries,""Behind the Scenes""}",'awe':5 'awe-inspir':4 'compos':10 'desert':22 'frisbe':13 'inspir':6 'labyrinth':1 'leagu':2 'must':15 'pioneer':18 'saga':7 'sahara':21 'succumb':16
247,Downhill Enough,A Emotional Tale of a Pastry Chef And a Forensic Psychologist who must Succumb a Monkey in The Sahara Desert,2006,1,3,0.99,47,19.99,G,2013-05-26 14:50:58.951,"{Trailers,Commentaries,""Deleted Scenes""}",'chef':9 'desert':22 'downhil':1 'emot':4 'enough':2 'forens':12 'monkey':18 'must':15 'pastri':8 'psychologist':13 'sahara':21 'succumb':16 'tale':5
407,Hawk Chill,A Action-Packed Drama of a Mad Scientist And a Composer who must Outgun a Car in Australia,2006,1,5,0.99,47,12.99,PG-13,2013-05-26 14:50:58.951,"{""Behind the Scenes""}",'action':5 'action-pack':4 'australia':21 'car':19 'chill':2 'compos':14 'drama':7 'hawk':1 'mad':10 'must':16 'outgun':17 'pack':6 'scientist':11
393,Halloween Nuts,A Amazing Panorama of a Forensic Psychologist And a Technical Writer who must Fight a Dentist in A U-Boat,2006,1,6,2.99,47,19.99,PG-13,2013-05-26 14:50:58.951,"{""Deleted Scenes""}",'amaz':4 'boat':23 'dentist':18 'fight':16 'forens':8 'halloween':1 'must':15 'nut':2 'panorama':5 'psychologist':9 'technic':12 'u':22 'u-boat':21 'writer':13
237,Divorce Shining,A Unbelieveable Saga of a Crocodile And a Student who must Discover a Cat in Ancient India,2006,1,3,2.99,47,21.99,G,2013-05-26 14:50:58.951,"{Trailers,Commentaries,""Deleted Scenes""}",'ancient':18 'cat':16 'crocodil':8 'discov':14 'divorc':1 'india':19 'must':13 'saga':5 'shine':2 'student':11 'unbeliev':4
398,Hanover Galaxy,A Stunning Reflection of a Girl And a Secret Agent who must Succumb a Boy in A MySQL Convention,2006,1,5,4.99,47,21.99,NC-17,2013-05-26 14:50:58.951,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",'agent':12 'boy':17 'convent':21 'galaxi':2 'girl':8 'hanov':1 'must':14 'mysql':20 'reflect':5 'secret':11 'stun':4 'succumb':15
